2010-05-12 09:21:27 - 3, 4, 4907, ab
2010-05-12 09:21:29 - 3, 4, 6533, ab
2010-05-12 09:21:30 - 3, 4, 6290, ab
2010-05-23 05:45:23 - 0, 1, 6290, wb
2010-05-23 05:45:40 - 0, 1, 6533, wb
2010-05-23 05:45:40 - 0, 1, 4907, wb
2010-05-23 06:06:13 - 0, 1, 4907, wb
2010-05-23 06:06:13 - 0, 1, 6533, wb
2010-05-23 06:06:14 - 0, 1, 6290, wb
2010-06-03 16:26:27 - 1, 2, 1092029, ab
2010-07-06 11:23:38 - 0, 1, 4062, wb
2010-07-06 11:49:28 - 0, 1, 452, wb
2010-07-06 11:49:29 - 0, 1, 979, wb
2010-07-06 11:49:29 - 0, 1, 13169, wb
2010-07-06 11:49:29 - 0, 1, 131, wb
2010-07-06 11:49:29 - 0, 1, 54, wb
2010-07-06 11:49:30 - 0, 1, 66934, wb
2010-07-06 11:49:30 - 0, 1, 1057, wb
2010-07-06 11:55:09 - 0, 1, 678, wb
2010-07-06 11:55:10 - 0, 1, 239, wb
2010-07-06 11:55:10 - 0, 1, 62, wb
2010-07-06 11:55:10 - 0, 1, 131, wb
2010-07-06 11:55:11 - 0, 1, 116, wb
2010-07-06 11:55:11 - 0, 1, 108, wb
2010-07-06 11:56:59 - 0, 1, 678, wb
2010-07-06 11:57:00 - 0, 1, 26120, wb
2010-07-06 11:57:00 - 0, 1, 188, wb
2010-07-06 11:57:00 - 0, 1, 239, wb
2010-07-06 11:57:01 - 0, 1, 62, wb
2010-07-06 11:57:01 - 0, 1, 131, wb
2010-07-06 11:57:01 - 0, 1, 116, wb
2010-07-06 11:57:01 - 0, 1, 108, wb
2010-07-06 11:59:12 - 0, 1, 13448, wb
2010-07-07 05:56:14 - 0, 1, 131, wb
2010-07-07 05:56:15 - 0, 1, 54, wb
2010-07-07 05:56:15 - 0, 1, 452, wb
2010-07-07 05:56:15 - 0, 1, 13169, wb
2010-07-07 06:00:39 - 0, 1, 108, wb
2010-07-07 06:00:40 - 0, 1, 678, wb
2010-07-07 06:00:40 - 0, 1, 13448, wb
2010-07-07 06:00:40 - 0, 1, 26120, wb
2010-07-07 06:00:41 - 0, 1, 188, wb
2010-07-07 06:00:41 - 0, 1, 239, wb
2010-07-07 06:00:41 - 0, 1, 62, wb
2010-07-07 06:00:41 - 0, 1, 131, wb
2010-07-07 06:00:42 - 0, 1, 116, wb
2010-07-07 06:06:17 - 0, 1, 8846, wb
2010-07-07 06:06:18 - 0, 1, 1244, wb
2010-07-07 06:06:18 - 0, 1, 1017, wb
2010-07-07 06:06:18 - 0, 1, 1298, wb
2010-07-07 06:06:18 - 0, 1, 2793, wb
2010-07-07 06:06:19 - 0, 1, 939, wb
2010-07-07 06:08:56 - 0, 1, 1506, wb
2010-07-07 06:08:56 - 0, 1, 486, wb
2010-07-07 06:08:57 - 0, 1, 333, wb
2010-07-07 06:08:57 - 0, 1, 1387, wb
2010-07-07 06:08:57 - 0, 1, 5155, wb
2010-07-07 06:08:57 - 0, 1, 125, wb
2010-07-07 06:08:58 - 0, 1, 156, wb
2010-07-07 06:08:58 - 0, 1, 13427, wb
2010-07-07 06:08:58 - 0, 1, 9754, wb
2010-07-07 06:11:37 - 0, 1, 398, wb
2010-07-07 06:11:37 - 0, 1, 2330, wb
2010-07-07 06:11:37 - 0, 1, 207, wb
2010-07-07 06:11:37 - 0, 1, 3457, wb
2010-07-07 06:11:38 - 0, 1, 5350, wb
2010-07-07 06:11:38 - 0, 1, 537, wb
2010-07-07 06:14:31 - 0, 1, 2857, wb
2010-07-07 06:14:31 - 0, 1, 46639, wb
2010-07-07 06:14:32 - 0, 1, 2288, wb
2010-07-07 06:14:32 - 0, 1, 1954, wb
2010-07-07 06:14:33 - 0, 1, 345, wb
2010-07-07 06:14:33 - 0, 1, 4266, wb
2010-07-07 06:14:33 - 0, 1, 496, wb
2010-07-07 06:14:34 - 0, 1, 22294, wb
2010-07-07 06:14:34 - 0, 1, 6241, wb
2010-07-07 06:14:34 - 0, 1, 444, wb
2010-07-07 06:18:38 - 0, 1, 259, wb
2010-07-07 06:18:38 - 0, 1, 252, wb
2010-07-07 06:18:38 - 0, 1, 9356, wb
2010-07-07 06:18:39 - 0, 1, 2336, wb
2010-07-07 06:18:39 - 0, 1, 177, wb
2010-07-07 06:18:39 - 0, 1, 14024, wb
2010-07-07 06:18:39 - 0, 1, 7520, wb
2010-07-07 06:18:40 - 0, 1, 139, wb
2010-08-21 02:56:46 - 0, 1, 88064, wb
2010-08-21 02:56:46 - 0, 1, 1642, wb
2010-11-25 05:18:15 - 0, 1, 8729, wb
2010-11-25 05:18:15 - 0, 1, 3403, wb
2011-03-15 05:13:32 - 3, 4, 183459, ab
2011-08-04 04:44:53 - 3, 4, 53942, ab
2011-09-19 11:52:59 - 3, 4, 29469, ab
2011-12-27 09:17:44 - 3, 4, 52140, ab
2011-12-27 09:18:25 - 3, 4, 30229, ab
2012-02-07 07:38:47 - 3, 4, 24423, ab
2012-02-07 07:38:47 - 3, 4, 32255, ab
2012-04-11 08:37:45 - 3, 4, 12137, ab
